id,first_name,last_name,email,ip_address,color,car_vin,car_company,car_model,car_model_year,car_price,country,city,date73,Shaylyn,Jupe,sjupe20@yellowbook.com,218.135.112.193,#9e9218,WAUKF98E57A836352,Subaru,Forester,2012,72205.00,Poland,Żurowa
78,Albie,Fleischer,afleischer25@1688.com,219.54.5.86,#2019ca,4A4AP3AU8DE558800,Subaru,Legacy,2005,84470.36,Czech Republic,Veltruby
144,Helaina,Ricarde,hricarde3z@diigo.com,10.103.101.175,#98f6de,KNADH4A35B6864470,Subaru,Leone,1989,61810.51,Poland,Rusocice
231,Marchall,Goldsberry,mgoldsberry6e@clickbank.net,153.35.46.255,#c13843,1GKS1HE00DR398104,Subaru,Justy,1990,82502.60,Poland,Paprotnia
254,Chrisy,Puffett,cpuffett71@arstechnica.com,251.34.85.23,#1a0157,1N6AA0EC6DN489739,Subaru,Legacy,2004,84340.16,Poland,Świeradów-Zdrój
287,Granville,Deniske,gdeniske7y@google.de,131.148.14.80,#6e9c71,SCFFBCCD9BG210130,Subaru,SVX,1997,96360.87,Czech Republic,Horní Jiřetín
318,Bendix,De Morena,bdemorena8t@deviantart.com,190.2.24.213,#90e00e,WBSPM93579E089279,Subaru,Tribeca,2008,51935.34,Poland,Zator
497,Jecho,Booth,jboothds@boston.com,170.86.23.130,#55515e,1FM5K7B84FG098521,Subaru,Justy,1993,15384.23,Poland,Twardawa
547,Aguste,Peagram,apeagramf6@lycos.com,10.160.170.234,#935b01,1GYS4FEJ4DR413164,Subaru,Outback,2003,37162.04,Poland,Bałtów
549,Craig,Hulbert,chulbertf8@macromedia.com,164.161.88.123,#cfc789,WAUMGBFL9DA137767,Subaru,Loyale,1992,43850.02,Poland,Klwów
561,Vida,Edmondson,vedmondsonfk@rediff.com,35.83.237.87,#3265ac,WAUKF78E18A879883,Subaru,Forester,2010,93179.89,Germany,Hanau
582,Padraig,Porritt,pporrittg5@livejournal.com,238.12.135.122,#0e06db,3VWKX7AJ8AM222365,Subaru,Justy,1988,38207.69,Czech Republic,Sokolnice
670,Edeline,Burkill,eburkillil@wufoo.com,98.180.20.157,#09d32a,JH4DC53863S360131,Subaru,Legacy,2012,25586.33,Czech Republic,Starý Bohumín
726,Malory,McHaffy,mmchaffyk5@google.com.br,107.82.158.90,#d6c40f,1D4PT6GX9AW071839,Subaru,Forester,1999,78481.71,Poland,Zabłocie
905,Guido,Meneyer,gmeneyerp4@ucsd.edu,31.211.100.115,#a8898f,1G6DP5E39C0203022,Subaru,Outback,2009,72940.96,Czech Republic,Valdice
